SDFB Person ID,ODNB ID,Display Name,Prefix,First Name,Last Name,Suffix,Title,All Search Names,Gender,Historical Significance,Birth Year Type,Extant Birth Year,Alternate Birth Year,Death Year Type,Extant Death Year,Alternate Death Year,Group List
10011020,67233,Denis Sheridan,"",Denis,Sheridan,"","","Denis Sheridan, Denis, Denis Sheridan",male,Church of Ireland clergyman,CA,1610,1610,CA,1683,1683,[]
10003720,19430,Pierre Du Moulin,"",Pierre,Du Moulin,"","","Pierre Du Moulin, Pierre, Pierre Du Moulin",male,Reformed minister and religious controversialist,IN,1568,1568,IN,1658,1658,[]
10009027,57248,Thomas O'Dowde,"",Thomas,O'Dowde,"","","Thomas O'Dowde, Thomas, Thomas O'Dowde",male,physician,AF,1555,NA,IN,1665,1665,[]
10004057,37402,Epiphanius Evesham,"",Epiphanius,Evesham,"","","Epiphanius Evesham, Epiphanius, Epiphanius Evesham",male,"sculptor, painter, and metal-engraver",IN,1570,1570,IN,1623,1623,[]
10006437,14319,John Huxham,"",John,Huxham,"","","John Huxham, John, John Huxham",male,physician,IN,1692,1692,IN,1768,1768,[]
10005958,68090,Richard Hill,"",Richard,Hill,"","","Richard Hill, Richard, Richard Hill",male,merchant,IN,1508,1508,IN,1536,1536,[]
10005813,13003,James Hepburn,"",James,Hepburn,"","","James Hepburn, James Hebron, James, James Hepburn",male,army officer in the Swedish and French services,AF,1527,NA,IN,1637,1637,[]
10001991,76333,Colin Campbell of Glenorchy,"",Colin,Campbell,of Glenorchy,"","Colin Campbell of Glenorchy, Colin, Colin Campbell, Colin Campbell of Glenorchy, Colin of Glenorchy",male,"",IN,1499,1499,IN,1583,1583,[]
10012174,27924,Brian Twyne,"",Brian,Twyne,"","","Brian Twyne, Brian, Brian Twyne",male,antiquary,IN,1581,1581,IN,1644,1644,[]
10005878,13134,John Hester,"",John,Hester,"","","John Hester, John, John Hester",male,distiller and translator,AF,1482,NA,IN,1592,1592,[]
10004173,9262,Thomas Fell,"",Thomas,Fell,"","","Thomas Fell, Thomas, Thomas Fell",male,judge,IN,1599,1599,IN,1658,1658,[]
10006632,14870,Christopher Johnson,"",Christopher,Johnson,"","","Christopher Johnson, Christopher, Christopher Johnson",male,Latin poet and schoolmaster,IN,1536,1536,IN,1597,1597,[]
10009712,40535,Thomas Pierson,"",Thomas,Pierson,"","","Thomas Pierson, Thomas, Thomas Pierson",male,Church of England clergyman,IN,1573,1573,IN,1633,1633,[]
10002637,5842,Francis Coldock,"",Francis,Coldock,"","","Francis Coldock, Francis, Francis Coldock",male,bookseller,IN,1530,1531,IN,1603,1603,[]
10007006,15713,John Knewstub,"",John,Knewstub,"","","John Knewstub, John Knewstubs, John, John Knewstub",male,Church of England clergyman,IN,1544,1544,IN,1624,1624,[]
10001831,4137,Robert Burton,"",Robert,Burton,"","","Robert Burton, Robert, Robert Burton",male,writer,IN,1577,1577,IN,1640,1640,[]
10000564,1182,Sir Andrew Balfour,Sir,Andrew,Balfour,"","","Andrew Balfour, Sir Andrew, Sir Andrew Balfour, Sir Balfour, Andrew, Andrew Balfour",male,botanist and antiquary,IN,1630,1630,IN,1694,1694,[]
10000566,1189,Sir James Balfour of Denmiln and Kinnaird,Sir,James,Balfour,of Denmiln and Kinnaird,"","James Balfour of Denmiln and Kinnaird, Sir James, Sir James Balfour, Sir James Balfour of Denmiln and Kinnaird, Sir James of Denmiln and Kinnaird, Sir Balfour, Sir Balfour of Denmiln and Kinnaird, James, James Balfour, James Balfour of Denmiln and Kinnaird, James of Denmiln and Kinnaird",male,antiquary and herald,IN,1600,1600,IN,1657,1657,[]
10007940,67989,Sir Rice Mansel,Sir,Rice,Mansel,"","","Sir Rice Mansel, Sir Rice Mansell, Sir Rice, Sir Rice Mansel, Sir Mansel, Rice, Rice Mansel",male,soldier and administrator,IN,1487,1487,IN,1559,1559,[]
10012268,28148,Thomas Vaughan,"",Thomas,Vaughan,"","","Thomas Vaughan, Thomas, Thomas Vaughan",male,hermetic philosopher and alchemist,IN,1621,1621,IN,1666,1666,[]
10005432,12058,Sir David Hamilton,Sir,David,Hamilton,"","","David Hamilton, Sir David, Sir David Hamilton, Sir Hamilton, David, David Hamilton",male,man-midwife and physician,IN,1663,1663,IN,1721,1721,[]
10006144,13696,Richard Hooker,"",Richard,Hooker,"","","Richard Hooker, Richard, Richard Hooker",male,theologian and philosopher,IN,1554,1554,IN,1600,1600,[]
10003466,71043,Henry Dethick,"",Henry,Dethick,"","","Henry Dethick, Henry, Henry Dethick",male,Latin poet and writer on poetic theory,IN,1547,1548,CA,1613,1613,[]
10002268,66530,Robert Chaloner,"",Robert,Chaloner,"","","Robert Chaloner, Robert, Robert Chaloner",male,Church of England clergyman and educational benefactor,IN,1547,1548,IN,1621,1621,[]
10002538,5625,Bartholomew Clerke,"",Bartholomew,Clerke,"","","Bartholomew Clerke, Bartholomew, Bartholomew Clerke",male,civil lawyer,IN,1537,1537,IN,1590,1590,[]
10001122,66521,Sir William Blackett,Sir,William,Blackett,"","","William Blackett, Sir William, Sir William Blackett, Sir Blackett, William, William Blackett",male,landowner and mine owner,IN,1657,1657,IN,1705,1705,[]
10011904,27349,William Thorne,"",William,Thorne,"","","William Thorne, William, William Thorne",male,classical and Hebrew scholar and Church of England clergyman,CA,1568,1568,IN,1630,1630,[]
10006974,15660,Sir William Kirkcaldy of Grange,Sir,William,Kirkcaldy,of Grange,"","William Kirkcaldy of Grange, Sir William, Sir William Kirkcaldy, Sir William Kirkcaldy of Grange, Sir William of Grange, Sir Kirkcaldy, Sir Kirkcaldy of Grange, William, William Kirkcaldy, William Kirkcaldy of Grange, William of Grange",male,soldier and politician,IN,1520,1520,IN,1573,1573,[]
10001832,72243,Simon Burton,"",Simon,Burton,"","","Simon Burton, Simon, Simon Burton",male,publisher,IN,1613,1613,IN,1663,1663,[]
10005950,13276,James Hill,"",James,Hill,"","","James Hill, James, James Hill",male,antiquary,IN,1697,1697,IN,1727,1727,[]
10001091,2457,Henry Birkhead,"",Henry,Birkhead,"","","Henry Birkhead, Henry, Henry Birkhead",male,Latin poet,IN,1617,1617,IN,1696,1696,[]
10005238,62679,Elizabeth Griffin,"",Elizabeth,Griffin,"","","Elizabeth Griffin, Elizabeth Grey, Elizabeth, Elizabeth Griffin",female,landowner,IN,1691,1691,IN,1762,1762,[]
10011504,26346,Richard Steele,"",Richard,Steele,"","","Richard Steele, Richard, Richard Steele",male,nonconformist minister,IN,1629,1629,IN,1692,1692,[]
10001123,55923,Andro Blackhall,"",Andro,Blackhall,"","","Andro Blackhall, Andro, Andro Blackhall",male,composer,IN,1535,1536,IN,1609,1609,[]
10002451,5411,Anthony Chute,"",Anthony,Chute,"","","Anthony Chute, Anthony Chewt, Anthony, Anthony Chute",male,poet,AF,1484,NA,IN,1594,1595,[]
10005257,11642,Sir Samuel Grimston,Sir,Samuel,Grimston,"","","Samuel Grimston, Sir Samuel, Sir Samuel Grimston, Sir Grimston, Samuel, Samuel Grimston",male,politician,IN,1644,1644,IN,1700,1700,[]
10007145,16049,Benjamin Langwith,"",Benjamin,Langwith,"","","Benjamin Langwith, Benjamin, Benjamin Langwith",male,antiquary and Church of England clergyman,IN,1684,1684,IN,1743,1743,[]
10012059,27666,Joseph Trapp,"",Joseph,Trapp,"","","Joseph Trapp, Joseph, Joseph Trapp",male,Church of England clergyman and writer,IN,1679,1679,IN,1747,1747,[]
10006620,14807,Thomas Jevon,"",Thomas,Jevon,"","","Thomas Jevon, Thomas, Thomas Jevon",male,actor and playwright,IN,1651,1652,IN,1688,1688,[]
10010953,25239,Edward Sharpham,"",Edward,Sharpham,"","","Edward Sharpham, Edward, Edward Sharpham",male,playwright and pamphleteer,IN,1576,1576,IN,1608,1608,[]
10004594,66140,Thomas Froysell,"",Thomas,Froysell,"","","Thomas Froysell, Thomas, Thomas Froysell",male,Church of England clergyman,IN,1610,1610,IN,1673,1673,[]
10003722,8119,Isaac Dubourdieu,"",Isaac,Dubourdieu,"","","Isaac Dubourdieu, Isaac, Isaac Dubourdieu",male,Reformed minister,CA,1597,1597,CA,1700,1700,[]
10003723,8120,Jean Dubourdieu,"",Jean,Dubourdieu,"","","Jean Dubourdieu, Jean, Jean Dubourdieu",male,Church of England clergyman,CA,1643,1643,CA,1720,1720,[]
10003377,7387,Henry Deane,"",Henry,Deane,"","","Henry Deane, Henry, Henry Deane",male,administrator and archbishop of Canterbury,IN,1440,1440,IN,1503,1503,[]
10003081,6806,William Crosse,"",William,Crosse,"","","William Crosse, William, William Crosse",male,poet and translator,IN,1589,1590,BF,1699,NA,[]
10001090,2456,George Birket,"",George,Birket,"","","George Birket, George Birkhead, George, George Birket",male,Roman Catholic archpriest,IN,1549,1549,IN,1614,1614,[]
10013307,76634,Wanchese,"",Wanchese,"","","","Wanchese, Wanchese",male,"",IN,1584,1584,IN,1586,1586,[]
10012418,28429,Humphrey Walcot,"",Humphrey,Walcot,"","","Humphrey Walcot, Humphrey, Humphrey Walcot",male,"",IN,1586,1586,IN,1650,1650,[]
10010027,70099,Richard Pygott,"",Richard,Pygott,"","","Richard Pygott, Richard, Richard Pygott",male,composer and church musician,AF,1439,NA,IN,1549,1549,[]
10012219,28020,Sir John Urry,Sir,John,Urry,"","","Sir John Urry, Sir John Hurry, Sir John, Sir John Urry, Sir Urry, John, John Urry",male,army officer,AF,1540,NA,IN,1650,1650,"[""Earl of Essex's army""]"
10006986,15682,James Kirkwood,"",James,Kirkwood,"","","James Kirkwood, James, James Kirkwood",male,clergyman and advocate of parochial libraries,CA,1650,1650,AF/IN,1709,1709,[]
10004984,11008,Vincent Gookin,"",Vincent,Gookin,"","","Vincent Gookin, Vincent, Vincent Gookin",male,politician and author,IN,1616,1616,IN,1659,1659,[]
10010119,23152,John Rastrick,"",John,Rastrick,"","","John Rastrick, John, John Rastrick",male,Presbyterian minister,IN,1650,1650,IN,1727,1727,[]
10011700,0,Peter Studley,"",Peter,Studley,"","","Peter Studley, Peter, Peter Studley",male,"vicar of St. Chad's, Shrewsbury",BF,1600,NA,IN,1648,NA,[]
10007243,16240,Richard Leake,"",Richard,Leake,"","","Richard Leake, Richard, Richard Leake",male,master gunner,IN,1629,1629,IN,1696,1696,[]
10005719,12725,Sir John Hay,Sir,John,Hay,"","","John Hay, Sir John, Sir John Hay, Sir Hay, John, John Hay",male,judge,IN,1578,1578,IN,1654,1654,[]
10009280,21211,Samuel Palmer,"",Samuel,Palmer,"","","Samuel Palmer, Samuel, Samuel Palmer",male,dissenting minister and pamphleteer,AF,1614,NA,IN,1724,1724,[]
10002352,5204,William Chedsey,"",William,Chedsey,"","","William Chedsey, William, William Chedsey",male,Roman Catholic priest,IN,1510,1511,CA,1577,1577,[]
10011380,60982,Henry Spittall,"",Henry,Spittall,"","","Henry Spittall, Henry, Henry Spittall",male,"",AF,1426,NA,IN,1536,1536,[]
10005341,11835,Francis Hacker,"",Francis,Hacker,"","","Francis Hacker, Francis, Francis Hacker",male,parliamentarian army officer and regicide,AF,1550,NA,IN,1660,1660,[]
10009281,21212,Samuel Palmer,"",Samuel,Palmer,"","","Samuel Palmer, Samuel, Samuel Palmer",male,printer and historian of printing,IN,1692,1692,IN,1732,1732,[]
10005033,11100,George Goring,"",George,Goring,"","","George Goring, George, George Goring",male,royalist army officer,IN,1608,1608,IN,1657,1657,[]
10005008,66292,Jean Gordon,"",Jean,Gordon,"","","Jean Gordon, Jean, Jean Gordon",male,noblewoman,IN,1546,1546,IN,1629,1629,[]
